,Name,Disaster,Begin Date,End Date,Total CPI-Adjusted Cost (Millions of Dollars),Deaths,year_only,number_of_days
188,Plains/East/Northeast Derecho (June-July 2012),Severe Storm,2012-06-29,2012-07-02,3870.6,28,2012,3
189,Hurricane Isaac (August 2012),Tropical Cyclone,2012-08-26,2012-08-31,3675.4,9,2012,5
190,Hurricane Sandy (October 2012),Tropical Cyclone,2012-10-30,2012-10-31,86502.7,159,2012,1
191,Western Wildfires (Summer-Fall 2012),Wildfire,2012-06-01,2012-11-30,2329.6,8,2012,182
192,U.S. Drought/Heat Wave (2012),Drought,2012-01-01,2012-12-31,40504.8,123,2012,365
193,Southern Severe Weather (February 2013),Severe Storm,2013-02-24,2013-02-25,1217.0,1,2013,1
194,Southeast Severe Weather (March 2013),Severe Storm,2013-03-18,2013-03-18,2666.5,1,2013,0
195,Midwest/Plains Severe Weather (April 2013),Severe Storm,2013-04-07,2013-04-11,1906.1,1,2013,4
196,Illinois Flooding and Severe Weather (April 2013),Flooding,2013-04-16,2013-04-19,1421.6,4,2013,3
197,Midwest/Plains/East Tornadoes (May 2013),Severe Storm,2013-05-18,2013-05-22,3168.4,27,2013,4
198,Midwest/Plains/Northeast Tornadoes (May 2013),Severe Storm,2013-05-27,2013-05-31,2393.8,10,2013,4
199,Midwest Severe Weather (August 2013),Severe Storm,2013-08-06,2013-08-07,1365.0,0,2013,1
200,Colorado Flooding (September 2013),Flooding,2013-09-10,2013-09-16,1976.1,9,2013,6
201,Ohio Valley Tornadoes (November 2013),Severe Storm,2013-11-17,2013-11-17,1439.7,8,2013,0
202,Western/Plains Drought/Heat Wave (Spring-Fall 2013),Drought,2013-03-01,2013-11-30,13866.6,53,2013,274
203,Midwest/Southeast/Northeast Winter Storm (January 2014),Winter Storm,2014-01-05,2014-01-08,2846.4,16,2014,3
204,Plains Severe Weather (April 2014),Severe Storm,2014-04-02,2014-04-03,1851.3,0,2014,1
205,Central Severe Weather (April 2014),Severe Storm,2014-04-12,2014-04-13,1193.4,0,2014,1
206,Midwest/Southeast/Northeast Tornadoes and Flooding (April 2014),Severe Storm,2014-04-27,2014-05-01,2257.2,33,2014,4
207,Center Severe Weather (May 2014),Severe Storm,2014-05-10,2014-05-14,1100.4,0,2014,4
208,Rockies/Midwest/Eastern Severe Weather (May 2014),Severe Storm,2014-05-18,2014-05-23,4790.1,0,2014,5
209,Rockies/Central Plains Severe Weather (June 2014),Severe Storm,2014-06-03,2014-06-05,2475.8,2,2014,2
